,title,article_url
162,[新聞] NewJeans Danielle一句「中國新年」韓國,https://www.ptt.cc/bbs/KoreaStar/M.1674281922.A.E24.html
163,[情報] NewJeans Ditto登告示牌Hot100第96名,https://www.ptt.cc/bbs/KoreaStar/M.1673975751.A.9DA.html
164,[情報] NewJeans成為BIGBANG及2ne1後第3個同時,https://www.ptt.cc/bbs/KoreaStar/M.1673922809.A.4C9.html
165,[閒聊] NewJeans 'OMG' 人氣歌謠 一位安可,https://www.ptt.cc/bbs/KoreaStar/M.1673791226.A.5D1.html
166,[閒聊] NewJeans Ditto舞台被說像金珉禧的Hyein,https://www.ptt.cc/bbs/KoreaStar/M.1673782501.A.1DB.html
167,[閒聊] NewJeans ＂OMG＂ 回歸舞台造型,https://www.ptt.cc/bbs/KoreaStar/M.1673768250.A.A59.html
168,[閒聊] NewJeans保鑣應對靠太近的粉絲的方法,https://www.ptt.cc/bbs/KoreaStar/M.1673691942.A.18B.html
169,[閒聊] 在各國主要排行榜上慢慢出現的NewJeans,https://www.ptt.cc/bbs/KoreaStar/M.1673687640.A.1E8.html
170,[閒聊] NewJeans Hanni cover IU的夜信 (先公,https://www.ptt.cc/bbs/KoreaStar/M.1673619387.A.28F.html
171,[新聞] NewJeans日本Oricon單曲週榜第一..2016年,https://www.ptt.cc/bbs/KoreaStar/M.1673578699.A.F8F.html
172,[新聞] NewJeans出道僅半年 唱片銷量破158萬張,https://www.ptt.cc/bbs/KoreaStar/M.1673538795.A.947.html
173,[閒聊] NewJeans Danielle最適合的髮型,https://www.ptt.cc/bbs/KoreaStar/M.1673524336.A.73F.html
174,[閒聊] 日本NewJeans諧潾電子廣告看板前現況,https://www.ptt.cc/bbs/KoreaStar/M.1673239293.A.06E.html
175,[新聞] LE SSERAFIM成員與NewJeans成員的互動(非,https://www.ptt.cc/bbs/KoreaStar/M.1673156504.A.682.html
176,[新聞] NewJeans新歌遭指中國元素！網笑稱辱華,https://www.ptt.cc/bbs/KoreaStar/M.1673146795.A.5D1.html
177,[閒聊] 中國人出征NewJeans IG,https://www.ptt.cc/bbs/KoreaStar/M.1673131253.A.760.html
178,[閒聊] 意見分歧關於NewJeans諧潾黑髮VS亮棕色髮,https://www.ptt.cc/bbs/KoreaStar/M.1673088631.A.BE9.html
179,[新聞] NewJeans DANIELLE Burberry 全球大使,https://www.ptt.cc/bbs/KoreaStar/M.1672976103.A.F69.html
180,[閒聊] NewJeans聲線,https://www.ptt.cc/bbs/KoreaStar/M.1672879778.A.F75.html
181,[閒聊] 大家覺得NewJeans Hanni像什麼動物呢?,https://www.ptt.cc/bbs/KoreaStar/M.1672847953.A.A0B.html
182,[情報] NewJeans成員正名,https://www.ptt.cc/bbs/KoreaStar/M.1672809694.A.7B1.html
183,[閒聊] 朱宇宰、李末年送給NewJeans成員的素描畫,https://www.ptt.cc/bbs/KoreaStar/M.1672720171.A.AA9.html
184,[閒聊] 令粉絲們反應熱烈的NewJeans Haerin的5張,https://www.ptt.cc/bbs/KoreaStar/M.1672655233.A.6E9.html
185,[閒聊] NewJeans 新歌＂OMG＂ MV,https://www.ptt.cc/bbs/KoreaStar/M.1672650059.A.980.html
186,"[新聞] NewJeans單曲一輯OMG,預售80萬張(非原",https://www.ptt.cc/bbs/KoreaStar/M.1672634222.A.E91.html
